index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,3,0,0,0,0,0,1.727449
558468,27,7,12,0,0,0,0,0,0.065631926
76950,404,3,3,657,1,1,0,0,6279.8574
77556,683,2,1,862,1,0,0,0,7304.2856
456344,920,3,3,591,1,1,0,0,6020.547
436466,758,4,6,569,1,0,0,0,4403.6245
646251,563,1,2,321,1,1,0,0,3242.997
650464,930,6,11,1367,1,0,0,0,7405.0913
162710,756,4,6,0,0,1,1,0,2.3138764
100327,49,2,1,546,1,1,0,0,8692.747
374540,787,4,7,968,1,0,0,1,8244.829
399143,782,4,9,472,1,0,0,0,4078.3894
44740,897,7,4,0,0,0,0,0,-0.92606825
674144,933,1,12,965,1,0,0,0,8443.93
81595,218,2,4,804,1,0,0,1,6038.3174
416724,554,3,10,499,1,1,0,1,4557.37
632687,362,1,8,1337,1,1,0,1,12577.894
351899,655,3,4,560,1,0,0,0,5012.9873
515940,785,3,12,461,1,0,0,1,4303.6587
567411,690,3,3,866,1,1,0,0,7833.793
274598,1103,7,2,0,0,0,0,0,4.9791026
417880,431,1,6,1367,1,1,0,0,14633.944
453710,127,2,9,642,1,1,0,0,6964.387
597622,579,5,3,0,0,1,1,1,-14.645071
223346,248,6,8,1139,1,0,0,0,8208.201
630018,962,6,1,0,0,0,0,0,-8.094033
355860,224,2,3,515,1,1,0,1,6955.3867
360080,208,3,6,355,1,1,0,1,3338.5596
129544,401,1,3,1063,1,1,0,0,11468.0
422545,503,7,9,0,0,0,0,0,3.3970432
174199,221,4,3,562,1,1,0,0,5477.604
118613,268,7,11,0,0,0,0,0,-3.9913032
60310,799,2,8,927,1,1,0,1,9724.004
328458,260,6,10,894,1,0,0,0,6621.7754
200661,1041,2,3,594,1,0,0,0,4760.5615
179581,350,2,6,533,1,1,0,0,7578.5337
587612,286,7,4,0,0,0,0,0,6.857581
320169,620,2,6,709,1,1,0,0,7817.9844
37194,521,1,6,484,1,1,0,0,6090.607
685427,649,4,11,435,1,1,0,0,4514.1772
125422,1059,2,6,1239,1,1,0,0,10582.776
24499,486,6,6,373,1,0,0,0,3226.1584
281806,252,4,10,642,1,0,0,0,6585.65
540511,656,3,5,421,1,1,0,0,3726.9534
28689,642,5,9,394,1,0,0,0,3166.5757
165066,655,5,5,761,1,1,0,0,7574.85
555963,992,3,6,627,1,0,0,0,4778.6724
610614,143,2,6,731,1,1,0,0,7920.8984
64013,421,5,7,941,1,1,0,1,8467.62
30639,246,4,10,1157,1,1,0,0,8639.74
418604,960,1,4,720,1,1,0,0,7742.986
468037,313,5,1,697,1,0,0,0,6110.122
271589,291,6,6,534,1,0,0,0,5058.1714
77924,924,6,5,333,1,0,0,0,3297.0154
247149,337,2,8,430,1,1,0,1,5744.327
576822,1024,4,3,607,1,0,0,0,4707.01
108538,56,3,1,402,1,1,0,0,5535.999
645670,507,3,4,532,1,0,0,0,4925.828
601663,970,5,3,406,1,0,0,0,3120.6724
502588,846,2,6,828,1,0,0,0,6446.6895
66732,549,3,8,582,1,0,0,0,4796.7134
627113,1095,4,3,852,1,1,0,1,8242.792
691184,859,5,4,709,1,1,0,0,6360.1333
467913,914,2,7,1178,1,1,0,1,10722.936
304890,888,2,6,634,1,0,0,0,5950.2197
274018,442,2,11,517,1,1,0,0,5621.7524
644430,34,6,3,905,1,0,0,0,8198.496
669009,199,4,7,581,1,0,0,0,6404.9014
518722,854,4,6,657,1,1,1,0,6031.7896
505976,611,2,1,485,1,1,0,0,6353.871
291572,808,4,4,528,1,0,0,1,5728.5225
39071,1105,4,1,410,1,0,0,0,4070.997
319154,866,5,4,445,1,0,0,0,4944.106
166603,222,6,9,367,1,0,0,0,3064.7576
428262,476,2,9,753,1,1,0,0,7193.1934
20314,800,1,5,494,1,0,0,0,4890.9243
603091,330,1,3,408,1,0,0,0,3488.9497
500421,507,3,1,648,1,1,0,0,6975.3677
388016,98,7,6,0,0,0,0,0,2.5336847
268257,1026,2,1,1044,1,0,0,0,7454.8574
216326,990,5,10,719,1,0,0,0,6051.1436
40755,8,6,1,345,1,0,0,0,2911.869
8654,611,3,7,566,1,1,0,1,5638.857
37301,257,2,8,777,1,1,0,0,6397.205
485623,840,4,4,1189,1,1,0,0,11277.751
214073,848,5,7,998,1,1,0,1,8773.9375
406145,124,6,7,297,1,0,0,0,2570.8079
397642,1028,2,12,438,1,0,0,1,3915.5718
273960,95,2,9,1099,1,1,0,0,10324.623
12104,208,1,10,323,1,0,0,0,2535.5825
361202,249,2,7,449,1,0,0,0,4469.5205
79347,887,3,3,614,1,1,0,0,6320.2783
462803,73,1,4,601,1,1,0,1,6106.3345
141713,13,4,4,501,1,1,0,1,5588.677
703618,1049,2,9,580,1,0,0,1,4114.457
308360,144,4,2,769,1,1,0,0,8071.727
317995,847,3,8,1018,1,1,0,1,9224.557
364408,796,3,5,717,1,0,0,0,7137.261
27886,396,4,6,1139,1,0,0,0,9590.826
706814,1080,7,9,0,0,0,0,0,2.4699748
514516,675,5,9,338,1,0,0,0,2974.6465
577373,1099,1,12,1236,1,1,0,0,10629.474
190561,791,1,5,858,1,0,0,0,7594.268
92512,1014,2,3,1476,1,0,0,0,11876.309
565163,487,2,11,737,1,1,0,0,7453.401
500246,427,3,2,701,1,0,0,1,6299.848
223708,254,5,11,282,1,1,0,0,3252.4883
555732,43,5,1,710,1,0,0,0,6264.6636
654150,1074,2,6,421,1,0,0,0,3917.4888
558350,549,6,6,380,1,0,0,0,3629.014
52167,1095,2,1,720,1,1,0,0,6053.8027
296981,295,1,10,612,1,0,0,1,4856.557
332143,319,1,10,863,1,0,0,1,7267.3794
426553,1002,4,4,642,1,0,0,0,5397.0015
481847,448,6,12,544,1,0,0,0,6576.457
100496,527,2,9,1046,1,0,0,1,8870.43
706377,255,5,4,652,1,1,0,0,6386.912
599169,581,5,7,651,1,1,0,0,6631.532
55294,185,6,1,550,1,0,0,0,5713.9336
218737,244,6,11,538,1,0,0,0,5013.672
266706,1082,6,1,877,1,0,0,0,7479.388
441953,216,5,3,837,1,1,0,0,6843.3027
127184,350,4,3,508,1,1,0,0,6357.7295
312223,748,1,3,822,1,1,0,0,9020.442
583377,718,1,12,962,1,0,0,0,8665.532
523743,739,5,2,789,1,1,0,0,8834.614
476775,614,7,12,0,0,0,0,0,12.455737
620142,673,2,2,615,1,1,0,0,7081.839
460092,83,1,6,367,1,0,0,0,3880.3367
169260,976,3,9,598,1,0,0,0,5206.061
177084,637,6,4,518,1,0,0,0,5808.373
645354,122,2,1,714,1,1,0,0,7376.525
645737,898,1,11,1013,1,1,0,0,10942.689
272578,1080,4,6,710,1,0,0,0,7291.718
600374,291,1,3,1290,1,1,0,0,13769.141
566038,24,4,1,711,1,0,0,1,7021.054
381862,1096,7,8,0,0,0,0,0,1.0632001
535335,637,5,5,860,1,0,0,0,10476.751
499411,1002,2,6,850,1,1,0,0,8255.74
625219,666,1,3,497,1,0,0,0,4365.3975
61823,1089,7,11,0,0,0,0,0,-0.03435699
653471,334,6,8,515,1,0,0,0,4775.6304
441789,300,6,8,951,1,0,0,1,7834.9785
155435,207,1,9,1166,1,0,0,0,8909.148
226567,683,3,5,854,1,0,0,0,8216.039
107330,1094,2,5,394,1,1,0,0,4776.936
149417,700,4,7,576,1,0,0,0,4666.4727
191690,959,2,8,744,1,0,0,0,6046.64
146544,766,7,6,0,0,0,0,0,7.080806
383603,1011,6,6,977,1,0,0,0,8487.114
452941,570,5,12,676,1,0,0,0,5317.2217
629103,685,2,9,689,1,1,0,0,7638.107
30258,158,3,4,681,1,1,0,1,8392.855
219501,66,5,5,522,1,0,0,1,5484.111
528607,76,2,7,1080,1,1,0,0,10547.229
397525,572,3,10,458,1,0,0,0,5081.507
314281,184,6,10,510,1,0,0,0,5152.5137
489418,1034,5,12,775,1,1,0,0,7561.9834
182776,559,7,8,0,0,0,0,0,-15.754293
335928,862,2,12,1561,1,0,0,1,14828.082
198358,171,2,11,962,1,1,0,0,10077.407
400219,33,7,12,0,0,0,0,0,0.0076509714
427476,936,4,11,963,1,1,0,0,7893.3086
31892,948,2,2,1682,1,1,0,0,7014.808
109374,371,6,5,551,1,0,0,0,6132.264
385320,242,1,5,378,1,1,0,0,4844.9243
517169,133,5,1,622,1,0,0,0,5630.001
369733,1031,1,12,681,1,1,0,0,9043.653
71343,850,4,2,710,1,1,0,0,6460.0054
42363,860,5,6,833,1,1,0,0,7665.5947
612665,836,6,7,301,1,0,0,0,2588.52
428563,965,6,11,908,1,0,0,0,8197.382
610249,1096,1,1,763,1,1,0,0,7073.864
669222,504,3,9,836,1,1,0,1,7019.2954
484348,230,1,12,1327,1,0,0,1,12998.08
194089,826,1,12,1170,1,1,0,0,12882.308
328888,975,2,7,767,1,1,0,1,8254.706
485880,602,2,10,547,1,0,0,1,5286.736
699868,953,5,9,553,1,1,0,0,6025.6357
265929,187,6,11,491,1,0,0,0,5399.9907
154648,792,5,10,599,1,0,0,0,5317.201
376328,1035,4,11,744,1,1,0,0,6936.744
530275,523,3,7,1515,1,1,0,1,12705.16
441109,723,4,4,461,1,0,0,1,5068.9126
26050,1025,7,5,0,0,0,0,0,-2.6746566
247671,18,7,1,0,0,0,0,0,1.1418707
615467,997,3,9,378,1,1,0,1,5291.9033
267972,400,6,10,805,1,0,0,0,6075.6
22318,1047,2,7,491,1,0,0,0,4531.8506
430083,819,1,9,472,1,0,0,0,4671.773
510014,668,1,6,1562,1,1,0,0,13572.499
343803,585,4,1,666,1,0,0,0,5246.2046
85161,99,1,3,404,1,0,0,0,3966.9126
505852,965,6,11,847,1,0,0,0,7482.517
266131,590,4,2,376,1,1,0,0,4702.8267
397091,709,2,6,1682,1,1,0,0,13970.849
112013,58,7,10,0,0,0,0,0,-5.076039
492019,409,7,2,0,0,0,0,0,2.315729
73240,850,6,4,826,1,0,0,0,7187.6245
203948,1058,3,3,737,1,1,0,0,7847.003
603210,1067,7,4,0,0,0,0,0,2.5213704
82813,777,1,4,0,0,0,1,1,-5.8413386
634511,155,3,5,632,1,1,0,0,7271.164
28171,598,1,6,871,1,1,0,0,7674.2197
198571,493,2,7,902,1,1,0,0,9843.547
70073,628,7,8,0,0,0,0,1,-3.6512434
551321,524,1,12,1193,1,0,0,1,12339.277
509286,966,4,4,585,1,0,0,1,4270.316
24413,1022,5,12,791,1,0,0,1,6724.25
367168,380,3,3,1720,1,1,0,0,17896.207
103724,132,3,1,579,1,1,0,0,5966.983
704886,400,5,6,999,1,0,0,0,7678.394
568270,988,4,8,790,1,1,0,0,5629.1187
627934,906,2,3,1476,1,1,0,0,13843.659
520091,1028,2,11,689,1,1,0,0,7260.942
505933,1100,6,3,484,1,0,0,0,4193.2827
67603,759,1,1,607,1,0,0,0,4528.827
96570,223,1,10,716,1,0,0,0,5627.7705
696883,936,7,3,0,0,0,0,0,-9.560627
216455,780,6,7,341,1,0,0,0,2853.3474
472114,259,5,11,2677,1,1,0,0,18371.346
437836,131,6,11,582,1,0,0,0,5962.7705
467331,251,3,1,2241,1,1,0,0,17162.266
